n,tousen
1,0.333333
2,0.333333
3,0.428571
4,0.272727
5,0.266667
6,0.3125
7,0.352941
8,0.368421
9,0.4
10,0.391304
11,0.416667
12,0.44
13,0.428571
14,0.433333
15,0.451613
16,0.454545
17,0.457143
18,0.447368
19,0.439024
20,0.431818
21,0.444444
22,0.456522
23,0.468085
24,0.45098
25,0.418182
26,0.428571
27,0.438596
28,0.409836
29,0.419355
30,0.428571
31,0.4375
32,0.432836
33,0.434783
34,0.430556
35,0.438356
36,0.445946
37,0.441558
38,0.443038
39,0.45
40,0.45122
41,0.452381
42,0.458824
43,0.45977
44,0.460674
45,0.466667
46,0.472527
47,0.473118
48,0.473684
49,0.454545
50,0.46
51,0.456311
52,0.461538
53,0.466667
54,0.458716
55,0.442478
56,0.443478
57,0.444444
58,0.438017
59,0.439024
60,0.443548
61,0.444444
62,0.445312
63,0.439394
64,0.443609
65,0.447761
66,0.451852
67,0.455882
68,0.459854
69,0.463768
70,0.457746
71,0.455172
72,0.458904
73,0.456376
74,0.45098
75,0.454545
76,0.458065
77,0.461538
78,0.464968
79,0.465409
80,0.462963
81,0.460606
82,0.463855
83,0.467066
84,0.461988
85,0.465116
86,0.468208
87,0.468571
88,0.471591
89,0.47191
90,0.472222
91,0.472527
92,0.472826
93,0.475676
94,0.478495
95,0.473684
96,0.47644
97,0.476684
98,0.479381
99,0.482051
100,0.482234
101,0.48
102,0.480198
103,0.480392
104,0.482927
105,0.485437
106,0.483254
107,0.485714
108,0.488152
109,0.485981
110,0.486111
111,0.488479
112,0.486364
113,0.488688
114,0.490991
115,0.493274
116,0.493333
117,0.493392
118,0.495614
119,0.497817
120,0.5
121,0.5
122,0.5
123,0.5
124,0.5
125,0.495868
126,0.493878
127,0.495935
128,0.492
129,0.488189
130,0.490196
131,0.482625
132,0.482759
133,0.48289
134,0.483019
135,0.484962
136,0.486891
137,0.486989
138,0.485294
139,0.487179
140,0.480144
141,0.482014
142,0.483871
143,0.485714
144,0.484099
145,0.480836
146,0.482639
147,0.482759
148,0.484536
149,0.481356
150,0.483108
151,0.481605
152,0.480132
153,0.481848
154,0.480392
155,0.482085
156,0.483766
157,0.483871
158,0.483974
159,0.485623
160,0.487261
161,0.481132
162,0.479751
163,0.476923
164,0.477064
165,0.478659
166,0.480243
167,0.481818
168,0.483384
169,0.483483
170,0.48503
171,0.48368
172,0.485207
173,0.486726
174,0.483965
175,0.482659
176,0.48415
177,0.485632
178,0.487106
179,0.488571
180,0.490028
181,0.491477
182,0.492918
183,0.492958
184,0.494382
185,0.493036
186,0.491713
187,0.493113
188,0.494505
189,0.49589
190,0.495913
191,0.493261
192,0.494624
193,0.495979
194,0.497326
195,0.494709
196,0.493438
197,0.492188
198,0.493506
199,0.494819
200,0.494845
201,0.496144
202,0.494898
203,0.496183
204,0.496203
205,0.494975
206,0.496241
207,0.4975
208,0.497512
209,0.498759
210,0.5
211,0.501235
212,0.5
213,0.501222
214,0.502439
215,0.501211
216,0.501205
217,0.502404
218,0.502392
219,0.501188
220,0.50237
221,0.502358
222,0.502347
223,0.503513
224,0.504673
225,0.505828
226,0.506977
227,0.502304
228,0.503448
229,0.504587
230,0.505721
231,0.506849
232,0.507973
233,0.509091
234,0.510204
235,0.511312
236,0.512415
237,0.513514
238,0.513453
239,0.512249
240,0.513333
241,0.514412
242,0.515487
243,0.515419
244,0.5131
245,0.514161
246,0.515217
247,0.515152
248,0.516199
249,0.517241
250,0.51828
251,0.517094
252,0.518124
253,0.519149
254,0.52017
255,0.520085
256,0.52
257,0.519916
258,0.51875
259,0.517598
260,0.518595
261,0.518519
262,0.518443
263,0.519427
264,0.519348
265,0.518219
266,0.514056
267,0.51503
268,0.513944
269,0.514911
270,0.515873
271,0.51581
272,0.516765
273,0.517717
274,0.517647
275,0.518591
276,0.519531
277,0.520468
278,0.516441
279,0.517375
280,0.517308
281,0.517241
282,0.515209
283,0.516129
284,0.516068
285,0.515038
286,0.515947
287,0.516854
288,0.517757
289,0.518657
290,0.517625
291,0.518519
292,0.519409
293,0.518382
294,0.518315
295,0.519196
296,0.519126
297,0.518116
298,0.518987
299,0.519856
300,0.517921
301,0.516014
302,0.514134
303,0.514991
304,0.514938
305,0.514886
306,0.513043
307,0.513889
308,0.513841
309,0.513793
310,0.51463
311,0.513699
312,0.513652
313,0.51448
314,0.51269
315,0.513514
316,0.513468
317,0.514286
318,0.515101
319,0.515913
320,0.51586
321,0.516667
322,0.516611
323,0.515702
324,0.515651
325,0.516447
326,0.517241
327,0.518033
328,0.518822
329,0.519608
330,0.520392
331,0.520325
332,0.520259
333,0.521036
334,0.521809
335,0.521739
336,0.52
337,0.519936
338,0.519873
339,0.518167
340,0.517296
341,0.516432
342,0.516381
343,0.517134
344,0.517885
345,0.517829
346,0.518576
347,0.51932
348,0.520062
349,0.519201
350,0.519142
351,0.519878
352,0.519026
353,0.518968
354,0.519697
355,0.520424
356,0.521148
357,0.52187
358,0.52259
359,0.522523
360,0.522455
361,0.522388
362,0.5231
363,0.52381
364,0.524517
365,0.524444
366,0.525148
367,0.525074
368,0.525
369,0.525698
370,0.526393
371,0.527086
372,0.527778
373,0.526929
374,0.526851
375,0.527536
376,0.52822
377,0.528139
378,0.528818
379,0.528736
380,0.529412
381,0.528571
382,0.525568
383,0.522599
384,0.523272
385,0.523207
386,0.523876
387,0.52381
388,0.524476
389,0.52514
390,0.523611
391,0.522822
392,0.523481
393,0.524138
394,0.524072
395,0.523288
396,0.523224
397,0.523161
398,0.52381
399,0.523035
400,0.523681
