n,tousen
10001,0.503702
10001,0.503676
10002,0.503701
10002,0.503676
10003,0.503701
10004,0.503726
10005,0.503751
10006,0.503776
10006,0.503751
10007,0.503776
10008,0.503801
10009,0.503826
10010,0.503851
10011,0.503876
10011,0.50385
10012,0.503875
10012,0.50385
10013,0.503875
10014,0.5039
10014,0.503874
10015,0.503899
10016,0.503924
10016,0.503899
10016,0.503874
10017,0.503899
10017,0.503873
10017,0.503848
10017,0.503823
10017,0.503797
10018,0.503822
10019,0.503847
10020,0.503872
10020,0.503847
10021,0.503872
10022,0.503897
10023,0.503922
10024,0.503947
10025,0.503971
10026,0.503996
10026,0.503971
10027,0.503996
10028,0.504021
10028,0.503996
10029,0.504021
10030,0.504045
10030,0.50402
10031,0.504045
10032,0.50407
10032,0.504045
10033,0.50407
10033,0.504044
10034,0.504069
10034,0.504044
10034,0.504018
10034,0.503993
10035,0.504018
10036,0.504043
10037,0.504068
10038,0.504093
10038,0.504067
10038,0.504042
10038,0.504017
10039,0.504042
10040,0.504067
10041,0.504092
10041,0.504066
10041,0.504041
10041,0.504016
10041,0.50399
10041,0.503965
10042,0.50399
10043,0.504015
10044,0.50404
10044,0.504014
10045,0.504039
10046,0.504064
10047,0.504089
10048,0.504114
10048,0.504089
10048,0.504063
10048,0.504038
10049,0.504063
10049,0.504038
10049,0.504012
10049,0.503987
10049,0.503962
10050,0.503987
10051,0.504012
10051,0.503986
10052,0.504011
10053,0.504036
10054,0.504061
10054,0.504036
10054,0.50401
10055,0.504035
10056,0.50406
10057,0.504085
10058,0.50411
10059,0.504135
10059,0.504109
10060,0.504134
10060,0.504109
10060,0.504084
10060,0.504059
10061,0.504083
10061,0.504058
10061,0.504033
10061,0.504008
10062,0.504032
10063,0.504057
10064,0.504082
10065,0.504107
10066,0.504132
10066,0.504107
10066,0.504081
10067,0.504106
10067,0.504081
10067,0.504056
10067,0.50403
10067,0.504005
10067,0.50398
10068,0.504005
10068,0.50398
10068,0.503954
10069,0.503979
10070,0.504004
10070,0.503979
10070,0.503954
10071,0.503978
10071,0.503953
10072,0.503978
10073,0.504003
10073,0.503978
10073,0.503952
10073,0.503927
10073,0.503902
10074,0.503927
10074,0.503902
10074,0.503876
10074,0.503851
10074,0.503826
10075,0.503851
10076,0.503876
10076,0.50385
10077,0.503875
10078,0.5039
10078,0.503875
10079,0.5039
10079,0.503874
10079,0.503849
10080,0.503874
10081,0.503899
10081,0.503874
10082,0.503898
10082,0.503873
10082,0.503848
10082,0.503823
10082,0.503798
10082,0.503773
10083,0.503797
10084,0.503822
10085,0.503847
