n,pi
3916,3.0776
3917,3.0779
3918,3.0781
3919,3.0783
3920,3.0786
3921,3.0788
3922,3.0790
3923,3.0783
3924,3.0785
3925,3.0787
3926,3.0790
3927,3.0792
3928,3.0794
3929,3.0797
3930,3.0799
3931,3.0801
3932,3.0804
3933,3.0806
3934,3.0808
3935,3.0811
3936,3.0813
3937,3.0815
3938,3.0818
3939,3.0820
3940,3.0822
3941,3.0815
3942,3.0817
3943,3.0819
3944,3.0822
3945,3.0824
3946,3.0826
3947,3.0818
3948,3.0821
3949,3.0823
3950,3.0825
3951,3.0828
3952,3.0830
3953,3.0832
3954,3.0835
3955,3.0837
3956,3.0839
3957,3.0842
3958,3.0844
3959,3.0836
3960,3.0828
3961,3.0831
3962,3.0833
3963,3.0835
3964,3.0838
3965,3.0840
3966,3.0842
3967,3.0844
3968,3.0837
3969,3.0839
3970,3.0841
3971,3.0844
3972,3.0846
3973,3.0838
3974,3.0840
3975,3.0833
3976,3.0835
3977,3.0837
3978,3.0840
3979,3.0842
3980,3.0844
3981,3.0847
3982,3.0849
3983,3.0851
3984,3.0853
3985,3.0856
3986,3.0858
3987,3.0860
3988,3.0863
3989,3.0865
3990,3.0867
3991,3.0869
3992,3.0872
3993,3.0874
3994,3.0876
3995,3.0879
3996,3.0881
3997,3.0883
3998,3.0885
3999,3.0878
4000,3.0880
4001,3.0882
4002,3.0885
4003,3.0887
4004,3.0889
4005,3.0891
4006,3.0894
4007,3.0896
4008,3.0898
4009,3.0890
4010,3.0883
4011,3.0885
4012,3.0877
4013,3.0880
4014,3.0882
4015,3.0884
4016,3.0876
4017,3.0879
4018,3.0871
4019,3.0873
4020,3.0876
4021,3.0878
4022,3.0880
4023,3.0882
4024,3.0885
4025,3.0887
4026,3.0889
4027,3.0891
4028,3.0894
4029,3.0896
4030,3.0888
4031,3.0891
4032,3.0893
4033,3.0895
4034,3.0887
4035,3.0890
4036,3.0892
4037,3.0894
4038,3.0896
4039,3.0899
4040,3.0901
4041,3.0903
4042,3.0905
4043,3.0908
4044,3.0910
4045,3.0912
4046,3.0914
4047,3.0917
4048,3.0919
4049,3.0921
4050,3.0923
4051,3.0916
4052,3.0908
4053,3.0901
4054,3.0903
4055,3.0905
4056,3.0907
4057,3.0900
4058,3.0902
4059,3.0894
4060,3.0897
4061,3.0899
4062,3.0891
4063,3.0893
4064,3.0896
4065,3.0898
4066,3.0900
4067,3.0893
4068,3.0885
4069,3.0887
4070,3.0889
4071,3.0892
4072,3.0894
4073,3.0896
4074,3.0898
4075,3.0891
4076,3.0883
4077,3.0885
4078,3.0888
4079,3.0890
4080,3.0882
4081,3.0885
4082,3.0887
4083,3.0879
4084,3.0881
4085,3.0884
4086,3.0886
4087,3.0888
4088,3.0890
4089,3.0893
4090,3.0895
4091,3.0897
4092,3.0899
4093,3.0892
4094,3.0894
4095,3.0896
4096,3.0889
4097,3.0891
4098,3.0883
4099,3.0886
4100,3.0888
4101,3.0890
4102,3.0892
4103,3.0894
4104,3.0897
4105,3.0889
4106,3.0882
4107,3.0884
4108,3.0886
4109,3.0888
4110,3.0881
4111,3.0883
4112,3.0885
4113,3.0887
4114,3.0880
4115,3.0882
4116,3.0875
4117,3.0877
4118,3.0879
4119,3.0872
4120,3.0874
4121,3.0866
4122,3.0869
4123,3.0871
4124,3.0873
4125,3.0875
4126,3.0877
4127,3.0880
4128,3.0882
4129,3.0884
4130,3.0877
4131,3.0879
4132,3.0881
4133,3.0883
4134,3.0885
4135,3.0888
4136,3.0890
4137,3.0892
4138,3.0894
4139,3.0896
4140,3.0899
4141,3.0901
4142,3.0903
4143,3.0905
4144,3.0898
4145,3.0900
4146,3.0902
4147,3.0904
4148,3.0906
4149,3.0909
4150,3.0901
4151,3.0903
4152,3.0906
4153,3.0908
4154,3.0910
4155,3.0912
4156,3.0905
4157,3.0907
4158,3.0909
4159,3.0911
4160,3.0913
4161,3.0916
4162,3.0918
4163,3.0920
4164,3.0922
4165,3.0924
4166,3.0927
4167,3.0929
4168,3.0921
4169,3.0914
4170,3.0906
4171,3.0909
4172,3.0901
4173,3.0903
4174,3.0896
4175,3.0898
4176,3.0900
4177,3.0903
4178,3.0905
4179,3.0907
4180,3.0909
4181,3.0911
4182,3.0913
4183,3.0906
4184,3.0908
4185,3.0910
4186,3.0913
4187,3.0915
4188,3.0917
4189,3.0919
4190,3.0921
4191,3.0914
4192,3.0906
4193,3.0909
4194,3.0911
4195,3.0903
4196,3.0906
4197,3.0908
4198,3.0910
4199,3.0912
4200,3.0905
4201,3.0907
4202,3.0909
4203,3.0902
4204,3.0904
4205,3.0906
4206,3.0899
4207,3.0901
4208,3.0894
4209,3.0886
4210,3.0888
4211,3.0891
4212,3.0883
4213,3.0876
4214,3.0878
4215,3.0871
4216,3.0863
4217,3.0856
4218,3.0858
4219,3.0851
4220,3.0853
4221,3.0855
4222,3.0857
4223,3.0860
4224,3.0862
4225,3.0864
4226,3.0866
4227,3.0868
4228,3.0870
4229,3.0873
4230,3.0875
4231,3.0877
4232,3.0879
4233,3.0881
4234,3.0883
4235,3.0885
4236,3.0888
4237,3.0890
4238,3.0892
4239,3.0894
4240,3.0896
4241,3.0889
4242,3.0891
4243,3.0893
4244,3.0886
4245,3.0888
4246,3.0890
4247,3.0892
4248,3.0895
4249,3.0897
4250,3.0889
4251,3.0892
4252,3.0894
4253,3.0896
4254,3.0889
4255,3.0891
4256,3.0893
4257,3.0886
4258,3.0878
4259,3.0880
4260,3.0873
4261,3.0875
4262,3.0878
4263,3.0870
4264,3.0872
4265,3.0875
4266,3.0877
4267,3.0879
4268,3.0881
4269,3.0883
4270,3.0885
4271,3.0887
4272,3.0890
4273,3.0892
4274,3.0894
4275,3.0896
4276,3.0898
4277,3.0900
4278,3.0893
4279,3.0895
4280,3.0897
4281,3.0899
4282,3.0901
4283,3.0894
4284,3.0896
4285,3.0898
4286,3.0891
4287,3.0893
4288,3.0896
4289,3.0888
4290,3.0890
4291,3.0893
4292,3.0895
4293,3.0897
4294,3.0899
4295,3.0901
4296,3.0894
4297,3.0896
4298,3.0889
4299,3.0891
4300,3.0893
4301,3.0895
4302,3.0897
4303,3.0899
4304,3.0901
4305,3.0904
4306,3.0906
4307,3.0908
4308,3.0910
4309,3.0912
4310,3.0914
4311,3.0907
4312,3.0900
4313,3.0902
4314,3.0904
4315,3.0897
4316,3.0890
4317,3.0892
4318,3.0885
4319,3.0887
4320,3.0889
4321,3.0891
4322,3.0893
4323,3.0886
4324,3.0888
4325,3.0890
4326,3.0892
4327,3.0894
4328,3.0896
4329,3.0889
4330,3.0891
4331,3.0894
4332,3.0896
4333,3.0898
4334,3.0900
4335,3.0902
4336,3.0904
4337,3.0906
4338,3.0908
4339,3.0910
4340,3.0903
4341,3.0905
4342,3.0907
4343,3.0910
4344,3.0912
4345,3.0914
4346,3.0916
4347,3.0909
4348,3.0911
4349,3.0913
4350,3.0915
4351,3.0917
4352,3.0919
4353,3.0921
4354,3.0923
4355,3.0925
4356,3.0927
4357,3.0930
4358,3.0922
4359,3.0925
4360,3.0927
4361,3.0929
4362,3.0922
4363,3.0924
4364,3.0917
4365,3.0919
4366,3.0921
4367,3.0923
4368,3.0925
4369,3.0927
4370,3.0929
4371,3.0931
4372,3.0933
4373,3.0935
4374,3.0937
4375,3.0939
4376,3.0941
4377,3.0944
4378,3.0946
4379,3.0948
4380,3.0950
4381,3.0952
4382,3.0954
4383,3.0956
4384,3.0949
4385,3.0951
4386,3.0953
4387,3.0955
4388,3.0957
4389,3.0959
4390,3.0961
4391,3.0963
4392,3.0956
4393,3.0958
4394,3.0960
4395,3.0953
4396,3.0955
4397,3.0957
4398,3.0960
4399,3.0962
4400,3.0955
4401,3.0957
4402,3.0959
4403,3.0961
4404,3.0954
4405,3.0956
4406,3.0958
4407,3.0960
4408,3.0953
4409,3.0955
4410,3.0948
4411,3.0950
4412,3.0952
4413,3.0954
4414,3.0956
4415,3.0958
4416,3.0960
4417,3.0962
4418,3.0964
4419,3.0966
4420,3.0959
4421,3.0961
4422,3.0963
4423,3.0965
4424,3.0967
4425,3.0969
4426,3.0972
4427,3.0965
4428,3.0967
4429,3.0960
4430,3.0962
4431,3.0964
4432,3.0966
4433,3.0968
4434,3.0970
4435,3.0972
4436,3.0974
4437,3.0976
4438,3.0978
4439,3.0971
4440,3.0973
4441,3.0975
4442,3.0977
4443,3.0979
4444,3.0981
4445,3.0983
4446,3.0985
4447,3.0987
4448,3.0989
4449,3.0991
4450,3.0993
4451,3.0995
4452,3.0997
4453,3.0999
4454,3.1001
4455,3.1003
4456,3.1005
4457,3.1007
4458,3.1000
4459,3.1002
4460,3.1004
4461,3.1007
4462,3.1009
4463,3.1011
4464,3.1004
4465,3.1006
4466,3.1008
4467,3.1010
4468,3.1003
4469,3.1005
4470,3.0998
4471,3.1000
4472,3.1002
4473,3.1004
4474,3.1006
4475,3.1008
4476,3.1001
4477,3.0994
4478,3.0987
4479,3.0989
4480,3.0991
4481,3.0984
4482,3.0986
4483,3.0979
4484,3.0972
4485,3.0974
4486,3.0976
4487,3.0978
4488,3.0980
4489,3.0982
4490,3.0984
4491,3.0986
4492,3.0988
4493,3.0990
4494,3.0992
4495,3.0994
4496,3.0996
4497,3.0998
4498,3.1000
4499,3.1002
4500,3.1004
4501,3.1006
4502,3.1008
4503,3.1010
4504,3.1004
4505,3.0997
4506,3.0999
4507,3.1001
4508,3.1003
4509,3.1005
4510,3.1007
4511,3.1009
4512,3.1011
4513,3.1013
4514,3.1015
4515,3.1017
4516,3.1019
4517,3.1021
4518,3.1023
4519,3.1016
4520,3.1009
4521,3.1011
4522,3.1013
4523,3.1015
4524,3.1008
4525,3.1010
4526,3.1012
4527,3.1014
4528,3.1016
4529,3.1018
4530,3.1020
4531,3.1022
4532,3.1024
4533,3.1026
4534,3.1019
4535,3.1021
4536,3.1023
4537,3.1025
4538,3.1018
4539,3.1020
4540,3.1013
4541,3.1015
4542,3.1017
4543,3.1019
4544,3.1021
4545,3.1023
4546,3.1025
4547,3.1027
4548,3.1029
4549,3.1031
4550,3.1033
4551,3.1026
4552,3.1028
4553,3.1030
4554,3.1032
4555,3.1025
4556,3.1027
4557,3.1029
4558,3.1022
4559,3.1016
4560,3.1018
4561,3.1011
4562,3.1013
4563,3.1015
4564,3.1017
4565,3.1019
4566,3.1021
4567,3.1023
4568,3.1025
4569,3.1018
4570,3.1020
4571,3.1022
4572,3.1024
4573,3.1026
4574,3.1019
4575,3.1021
4576,3.1023
4577,3.1025
4578,3.1027
4579,3.1020
4580,3.1022
4581,3.1024
4582,3.1026
4583,3.1028
4584,3.1021
4585,3.1023
4586,3.1025
4587,3.1027
4588,3.1029
4589,3.1031
4590,3.1033
4591,3.1026
4592,3.1019
4593,3.1021
4594,3.1023
4595,3.1025
4596,3.1027
4597,3.1029
4598,3.1022
4599,3.1024
4600,3.1026
4601,3.1028
4602,3.1030
4603,3.1023
4604,3.1017
4605,3.1010
4606,3.1012
4607,3.1005
4608,3.1007
4609,3.1009
4610,3.1011
4611,3.1004
4612,3.1006
4613,3.1008
4614,3.1010
4615,3.1012
4616,3.1014
4617,3.1016
4618,3.1009
4619,3.1011
4620,3.1013
4621,3.1015
4622,3.1008
4623,3.1010
4624,3.1012
4625,3.1005
4626,3.1007
4627,3.1009
4628,3.1011
4629,3.1013
4630,3.1015
4631,3.1017
4632,3.1010
4633,3.1004
4634,3.1006
4635,3.1008
4636,3.1001
4637,3.1003
4638,3.1005
4639,3.0998
4640,3.1000
4641,3.1002
4642,3.1004
4643,3.0997
4644,3.0999
4645,3.1001
4646,3.1003
4647,3.1005
4648,3.1007
4649,3.1000
4650,3.1002
4651,3.1004
4652,3.1006
4653,3.1008
4654,3.1010
4655,3.1012
4656,3.1014
4657,3.1007
4658,3.1009
4659,3.1002
4660,3.1004
4661,3.0998
4662,3.1000
4663,3.0993
4664,3.0995
4665,3.0997
4666,3.0999
4667,3.1001
4668,3.1003
4669,3.1004
4670,3.1006
4671,3.1008
4672,3.1002
4673,3.0995
4674,3.0997
4675,3.0999
4676,3.0992
4677,3.0986
4678,3.0979
4679,3.0981
4680,3.0983
4681,3.0985
4682,3.0978
4683,3.0980
4684,3.0982
4685,3.0984
4686,3.0977
4687,3.0979
4688,3.0981
4689,3.0975
4690,3.0977
4691,3.0970
4692,3.0972
4693,3.0965
4694,3.0967
4695,3.0969
4696,3.0963
4697,3.0964
4698,3.0958
4699,3.0951
4700,3.0953
4701,3.0947
4702,3.0949
4703,3.0950
4704,3.0952
4705,3.0954
4706,3.0948
4707,3.0950
4708,3.0952
4709,3.0945
4710,3.0947
4711,3.0949
4712,3.0951
4713,3.0944
4714,3.0946
4715,3.0948
4716,3.0950
4717,3.0952
4718,3.0954
4719,3.0956
4720,3.0958
4721,3.0960
4722,3.0961
4723,3.0963
4724,3.0965
4725,3.0959
4726,3.0961
4727,3.0963
4728,3.0956
4729,3.0958
4730,3.0960
4731,3.0962
4732,3.0964
4733,3.0957
4734,3.0951
4735,3.0952
4736,3.0954
4737,3.0956
4738,3.0950
4739,3.0943
4740,3.0945
4741,3.0947
4742,3.0941
4743,3.0942
4744,3.0944
4745,3.0946
4746,3.0940
4747,3.0942
4748,3.0944
4749,3.0945
4750,3.0947
4751,3.0949
4752,3.0943
4753,3.0936
4754,3.0938
4755,3.0940
4756,3.0942
4757,3.0944
4758,3.0946
4759,3.0948
4760,3.0950
4761,3.0951
4762,3.0953
4763,3.0955
4764,3.0957
4765,3.0959
4766,3.0953
4767,3.0954
4768,3.0956
4769,3.0958
4770,3.0960
4771,3.0962
4772,3.0964
4773,3.0966
4774,3.0968
4775,3.0961
4776,3.0963
4777,3.0957
4778,3.0959
4779,3.0960
4780,3.0962
4781,3.0964
4782,3.0966
4783,3.0968
4784,3.0970
4785,3.0972
4786,3.0974
4787,3.0976
4788,3.0977
4789,3.0979
4790,3.0981
4791,3.0983
4792,3.0985
4793,3.0987
4794,3.0989
4795,3.0982
4796,3.0984
4797,3.0986
4798,3.0988
4799,3.0990
4800,3.0992
4801,3.0994
4802,3.0995
4803,3.0997
4804,3.0991
4805,3.0993
4806,3.0986
4807,3.0988
4808,3.0990
4809,3.0992
4810,3.0994
4811,3.0996
4812,3.0998
4813,3.0999
4814,3.1001
4815,3.0995
4816,3.0988
4817,3.0990
4818,3.0984
4819,3.0986
4820,3.0988
4821,3.0989
4822,3.0991
4823,3.0993
4824,3.0995
4825,3.0989
4826,3.0990
4827,3.0992
4828,3.0994
4829,3.0996
4830,3.0990
4831,3.0992
4832,3.0993
4833,3.0995
4834,3.0997
4835,3.0999
4836,3.1001
4837,3.1003
4838,3.1005
4839,3.1006
4840,3.1008
4841,3.1010
4842,3.1012
4843,3.1006
4844,3.0999
4845,3.1001
4846,3.1003
4847,3.0996
4848,3.0990
4849,3.0992
4850,3.0994
4851,3.0996
4852,3.0998
4853,3.0999
4854,3.1001
4855,3.1003
4856,3.1005
4857,3.1007
4858,3.1009
4859,3.1010
4860,3.1004
4861,3.1006
4862,3.1008
4863,3.1001
4864,3.0995
4865,3.0997
4866,3.0999
4867,3.1001
4868,3.1002
4869,3.0996
4870,3.0990
4871,3.0992
4872,3.0993
4873,3.0995
4874,3.0997
4875,3.0991
4876,3.0993
4877,3.0994
4878,3.0996
4879,3.0990
4880,3.0984
4881,3.0977
4882,3.0979
4883,3.0973
4884,3.0975
4885,3.0968
4886,3.0970
4887,3.0972
4888,3.0974
4889,3.0976
4890,3.0969
4891,3.0971
4892,3.0965
4893,3.0967
4894,3.0960
4895,3.0962
4896,3.0964
4897,3.0966
4898,3.0968
4899,3.0970
4900,3.0971
4901,3.0965
4902,3.0967
4903,3.0969
4904,3.0971
4905,3.0972
4906,3.0974
4907,3.0976
4908,3.0978
4909,3.0980
4910,3.0982
4911,3.0984
4912,3.0985
4913,3.0987
4914,3.0981
4915,3.0983
4916,3.0985
4917,3.0986
4918,3.0988
4919,3.0982
4920,3.0984
4921,3.0977
4922,3.0979
4923,3.0981
4924,3.0983
4925,3.0985
4926,3.0987
4927,3.0988
4928,3.0990
4929,3.0992
4930,3.0994
4931,3.0996
4932,3.0998
4933,3.0999
4934,3.1001
4935,3.1003
4936,3.0997
4937,3.0999
4938,3.1000
4939,3.1002
4940,3.0996
4941,3.0998
4942,3.1000
4943,3.1001
4944,3.1003
4945,3.1005
4946,3.1007
4947,3.1001
4948,3.1002
4949,3.1004
4950,3.1006
4951,3.1000
4952,3.1002
4953,3.1003
4954,3.1005
4955,3.1007
4956,3.1009
4957,3.1003
4958,3.1004
4959,3.0998
4960,3.1000
4961,3.1002
4962,3.1004
4963,3.1005
4964,3.1007
4965,3.1001
4966,3.0995
4967,3.0997
4968,3.0998
4969,3.0992
4970,3.0994
4971,3.0996
4972,3.0998
4973,3.0991
4974,3.0985
4975,3.0987
4976,3.0989
4977,3.0991
4978,3.0992
4979,3.0986
4980,3.0988
4981,3.0982
4982,3.0976
4983,3.0977
4984,3.0971
4985,3.0973
4986,3.0975
4987,3.0977
4988,3.0978
4989,3.0980
4990,3.0982
4991,3.0984
4992,3.0986
4993,3.0979
4994,3.0981
4995,3.0983
4996,3.0985
4997,3.0987
4998,3.0988
4999,3.0990
5000,3.0992
5001,3.0994
5002,3.0996
5003,3.0997
5004,3.0999
5005,3.1001
5006,3.1003
5007,3.1005
5008,3.1006
5009,3.1008
5010,3.1002
5011,3.1004
5012,3.1006
5013,3.1007
5014,3.1009
5015,3.1011
5016,3.1013
5017,3.1015
5018,3.1016
5019,3.1018
5020,3.1012
5021,3.1006
5022,3.1008
5023,3.1009
5024,3.1003
5025,3.1005
5026,3.1007
5027,3.1009
5028,3.1002
5029,3.1004
5030,3.1006
5031,3.1000
5032,3.0994
5033,3.0987
5034,3.0981
5035,3.0983
5036,3.0985
5037,3.0987
5038,3.0988
5039,3.0990
5040,3.0992
5041,3.0994
5042,3.0996
5043,3.0997
5044,3.0999
5045,3.1001
5046,3.1003
5047,3.1005
5048,3.0998
5049,3.1000
5050,3.1002
5051,3.1004
5052,3.1006
5053,3.1007
5054,3.1009
5055,3.1011
5056,3.1013
5057,3.1014
5058,3.1016
5059,3.1018
5060,3.1020
5061,3.1014
5062,3.1015
5063,3.1009
5064,3.1011
5065,3.1013
5066,3.1007
5067,3.1001
5068,3.1002
5069,3.1004
5070,3.0998
5071,3.1000
5072,3.1002
5073,3.1003
5074,3.1005
5075,3.1007
5076,3.1009
5077,3.1010
5078,3.1012
5079,3.1006
5080,3.1008
5081,3.1010
5082,3.1004
5083,3.1005
5084,3.1007
5085,3.1009
5086,3.1011
5087,3.1012
5088,3.1014
5089,3.1016
5090,3.1018
5091,3.1012
5092,3.1013
5093,3.1015
5094,3.1009
5095,3.1011
5096,3.1013
5097,3.1014
5098,3.1016
5099,3.1010
5100,3.1004
5101,3.1006
5102,3.1007
5103,3.1001
5104,3.0995
5105,3.0989
5106,3.0991
5107,3.0993
5108,3.0987
5109,3.0981
5110,3.0982
5111,3.0984
5112,3.0986
5113,3.0988
5114,3.0982
5115,3.0983
5116,3.0985
5117,3.0987
5118,3.0989
5119,3.0990
5120,3.0992
5121,3.0994
5122,3.0996
5123,3.0990
5124,3.0984
5125,3.0985
5126,3.0987
5127,3.0989
5128,3.0983
5129,3.0985
5130,3.0986
5131,3.0980
5132,3.0982
5133,3.0984
5134,3.0986
5135,3.0987
5136,3.0989
5137,3.0991
5138,3.0985
5139,3.0987
5140,3.0988
5141,3.0990
5142,3.0984
5143,3.0986
5144,3.0988
5145,3.0989
5146,3.0991
5147,3.0993
5148,3.0995
5149,3.0996
5150,3.0998
5151,3.1000
5152,3.1002
5153,3.1003
5154,3.1005
5155,3.1007
5156,3.1009
5157,3.1010
5158,3.1012
5159,3.1014
5160,3.1016
5161,3.1009
5162,3.1011
5163,3.1013
5164,3.1015
5165,3.1016
5166,3.1018
5167,3.1020
5168,3.1022
5169,3.1023
5170,3.1025
5171,3.1019
5172,3.1013
5173,3.1015
5174,3.1009
5175,3.1011
5176,3.1005
5177,3.1006
5178,3.1000
5179,3.0994
5180,3.0988
5181,3.0990
5182,3.0984
5183,3.0986
5184,3.0988
5185,3.0989
5186,3.0983
5187,3.0985
5188,3.0987
5189,3.0989
5190,3.0990
5191,3.0984
5192,3.0986
5193,3.0980
5194,3.0982
5195,3.0976
5196,3.0978
5197,3.0979
5198,3.0981
5199,3.0975
5200,3.0969
5201,3.0971
5202,3.0973
5203,3.0974
5204,3.0976
5205,3.0978
5206,3.0980
5207,3.0981
5208,3.0983
5209,3.0985
5210,3.0987
5211,3.0981
5212,3.0982
5213,3.0984
5214,3.0986
5215,3.0988
5216,3.0982
5217,3.0983
5218,3.0985
5219,3.0987
5220,3.0989
5221,3.0990
5222,3.0984
5223,3.0986
5224,3.0988
5225,3.0982
5226,3.0984
5227,3.0985
5228,3.0979
5229,3.0981
5230,3.0983
5231,3.0985
5232,3.0979
5233,3.0973
5234,3.0974
5235,3.0976
5236,3.0978
5237,3.0980
5238,3.0981
5239,3.0983
5240,3.0985
5241,3.0986
5242,3.0988
5243,3.0982
5244,3.0984
5245,3.0986
5246,3.0987
5247,3.0989
5248,3.0991
5249,3.0993
5250,3.0987
5251,3.0988
5252,3.0990
5253,3.0992
5254,3.0994
5255,3.0995
5256,3.0997
5257,3.0999
5258,3.1000
5259,3.1002
5260,3.1004
5261,3.1006
5262,3.1007
5263,3.1001
5264,3.1003
5265,3.0997
5266,3.0999
5267,3.1001
5268,3.1002
5269,3.1004
5270,3.0998
5271,3.1000
5272,3.1002
5273,3.1003
5274,3.1005
5275,3.1007
5276,3.1008
5277,3.1002
5278,3.1004
5279,3.1006
5280,3.1008
5281,3.1009
5282,3.1011
5283,3.1013
5284,3.1014
5285,3.1009
5286,3.1003
5287,3.1004
5288,3.1006
5289,3.1008
5290,3.1009
5291,3.1011
5292,3.1013
5293,3.1015
5294,3.1016
5295,3.1018
5296,3.1020
5297,3.1021
5298,3.1023
5299,3.1017
5300,3.1019
5301,3.1021
5302,3.1015
5303,3.1016
5304,3.1011
5305,3.1012
5306,3.1006
5307,3.1008
5308,3.1010
5309,3.1004
5310,3.1006
5311,3.1007
5312,3.1009
5313,3.1011
5314,3.1012
5315,3.1007
5316,3.1008
5317,3.1010
5318,3.1012
5319,3.1013
5320,3.1015
5321,3.1009
5322,3.1011
5323,3.1005
5324,3.1007
5325,3.1001
5326,3.1003
5327,3.1004
5328,3.1006
5329,3.1008
5330,3.1009
5331,3.1004
5332,3.1005
5333,3.1007
5334,3.1001
5335,3.1003
5336,3.1004
5337,3.1006
5338,3.1008
5339,3.1002
5340,3.1004
5341,3.1005
5342,3.1000
5343,3.1001
5344,3.0996
5345,3.0997
5346,3.0999
5347,3.0993
5348,3.0995
5349,3.0996
5350,3.0998
5351,3.1000
5352,3.0994
5353,3.0996
5354,3.0997
5355,3.0992
5356,3.0993
5357,3.0995
5358,3.0997
5359,3.0998
5360,3.1000
5361,3.1002
5362,3.1003
5363,3.0998
5364,3.0999
5365,3.1001
5366,3.1003
5367,3.1004
5368,3.0999
5369,3.0993
5370,3.0994
5371,3.0996
5372,3.0998
5373,3.0999
5374,3.1001
5375,3.1003
5376,3.1004
5377,3.1006
5378,3.1008
5379,3.1002
5380,3.1004
5381,3.1005
5382,3.1007
5383,3.1001
5384,3.1003
5385,3.1005
5386,3.1006
5387,3.1008
5388,3.1010
5389,3.1011
5390,3.1006
5391,3.1007
5392,3.1009
5393,3.1011
5394,3.1012
5395,3.1006
5396,3.1008
5397,3.1010
5398,3.1011
5399,3.1013
5400,3.1015
5401,3.1016
5402,3.1018
5403,3.1020
5404,3.1021
5405,3.1023
5406,3.1025
5407,3.1026
5408,3.1028
5409,3.1022
5410,3.1024
5411,3.1026
5412,3.1020
5413,3.1014
5414,3.1016
5415,3.1018
5416,3.1019
5417,3.1021
5418,3.1023
5419,3.1024
5420,3.1026
5421,3.1027
5422,3.1022
5423,3.1023
5424,3.1025
5425,3.1019
5426,3.1021
5427,3.1023
5428,3.1024
5429,3.1026
5430,3.1028
5431,3.1022
5432,3.1024
5433,3.1025
5434,3.1027
5435,3.1021
5436,3.1023
5437,3.1024
5438,3.1026
5439,3.1028
5440,3.1029
5441,3.1031
5442,3.1033
5443,3.1027
5444,3.1029
5445,3.1030
5446,3.1032
5447,3.1026
5448,3.1021
5449,3.1022
5450,3.1024
5451,3.1025
5452,3.1027
5453,3.1029
5454,3.1030
5455,3.1025
5456,3.1026
5457,3.1028
5458,3.1030
5459,3.1031
5460,3.1033
5461,3.1035
5462,3.1029
5463,3.1031
5464,3.1032
5465,3.1034
5466,3.1035
5467,3.1037
5468,3.1039
5469,3.1040
5470,3.1035
5471,3.1036
5472,3.1038
5473,3.1040
5474,3.1041
5475,3.1043
5476,3.1045
5477,3.1046
5478,3.1048
5479,3.1049
5480,3.1051
5481,3.1053
5482,3.1047
5483,3.1049
5484,3.1050
5485,3.1052
5486,3.1054
5487,3.1048
5488,3.1042
5489,3.1044
5490,3.1046
5491,3.1047
5492,3.1049
5493,3.1043
5494,3.1045
5495,3.1039
5496,3.1033
5497,3.1035
5498,3.1037
5499,3.1038
5500,3.1040
5501,3.1042
5502,3.1036
5503,3.1038
5504,3.1039
5505,3.1041
5506,3.1035
5507,3.1037
5508,3.1038
5509,3.1040
5510,3.1042
5511,3.1043
5512,3.1045
5513,3.1047
5514,3.1048
5515,3.1050
5516,3.1044
5517,3.1046
5518,3.1040
5519,3.1042
5520,3.1043
5521,3.1045
5522,3.1047
5523,3.1048
5524,3.1043
5525,3.1044
5526,3.1039
5527,3.1040
5528,3.1042
5529,3.1044
5530,3.1045
5531,3.1040
5532,3.1041
5533,3.1043
5534,3.1037
5535,3.1039
5536,3.1040
5537,3.1042
5538,3.1036
5539,3.1038
5540,3.1040
5541,3.1041
5542,3.1043
5543,3.1045
5544,3.1046
5545,3.1048
5546,3.1042
5547,3.1044
5548,3.1045
5549,3.1040
5550,3.1034
5551,3.1036
5552,3.1037
5553,3.1039
5554,3.1041
5555,3.1042
5556,3.1044
5557,3.1046
5558,3.1047
5559,3.1042
5560,3.1036
5561,3.1030
5562,3.1032
5563,3.1034
5564,3.1035
5565,3.1037
5566,3.1038
5567,3.1040
5568,3.1042
5569,3.1036
5570,3.1038
5571,3.1039
5572,3.1041
5573,3.1043
5574,3.1044
5575,3.1046
5576,3.1047
5577,3.1049
5578,3.1051
5579,3.1052
5580,3.1054
5581,3.1055
5582,3.1057
5583,3.1059
5584,3.1053
5585,3.1055
5586,3.1056
5587,3.1058
5588,3.1059
5589,3.1061
5590,3.1055
5591,3.1057
5592,3.1059
5593,3.1060
5594,3.1062
5595,3.1063
5596,3.1058
5597,3.1052
5598,3.1054
5599,3.1056
5600,3.1057
5601,3.1052
5602,3.1053
5603,3.1055
5604,3.1056
5605,3.1058
5606,3.1060
5607,3.1061
5608,3.1056
5609,3.1057
5610,3.1059
5611,3.1060
5612,3.1062
5613,3.1064
5614,3.1058
5615,3.1060
5616,3.1061
5617,3.1056
5618,3.1050
5619,3.1052
5620,3.1053
5621,3.1055
5622,3.1057
5623,3.1058
5624,3.1060
5625,3.1061
5626,3.1056
5627,3.1050
5628,3.1052
5629,3.1053
5630,3.1048
5631,3.1042
5632,3.1044
5633,3.1046
5634,3.1047
5635,3.1049
5636,3.1043
5637,3.1045
5638,3.1039
5639,3.1041
5640,3.1043
5641,3.1044
5642,3.1046
5643,3.1040
5644,3.1042
5645,3.1036
5646,3.1038
5647,3.1039
5648,3.1034
5649,3.1036
5650,3.1030
5651,3.1032
5652,3.1033
5653,3.1028
5654,3.1029
5655,3.1031
5656,3.1033
5657,3.1034
5658,3.1036
5659,3.1037
5660,3.1039
5661,3.1040
5662,3.1042
5663,3.1044
5664,3.1045
