n,pi
457,3.0372
458,3.0393
459,3.0414
460,3.0435
461,3.0456
462,3.0476
463,3.0410
464,3.0431
465,3.0452
466,3.0472
467,3.0493
468,3.0513
469,3.0533
470,3.0468
471,3.0488
472,3.0508
473,3.0529
474,3.0549
475,3.0568
476,3.0588
477,3.0608
478,3.0628
479,3.0647
480,3.0583
481,3.0603
482,3.0539
483,3.0559
484,3.0496
485,3.0515
486,3.0535
487,3.0554
488,3.0574
489,3.0593
490,3.0612
491,3.0550
492,3.0569
493,3.0588
494,3.0607
495,3.0545
496,3.0565
497,3.0584
498,3.0602
499,3.0621
500,3.0640
501,3.0659
502,3.0677
503,3.0616
504,3.0556
505,3.0574
506,3.0593
507,3.0611
508,3.0630
509,3.0648
510,3.0667
511,3.0607
512,3.0625
513,3.0643
514,3.0661
515,3.0680
516,3.0620
517,3.0638
518,3.0656
519,3.0674
520,3.0692
521,3.0710
522,3.0651
523,3.0593
524,3.0534
525,3.0552
526,3.0570
527,3.0588
528,3.0606
529,3.0624
530,3.0642
531,3.0584
532,3.0602
533,3.0619
534,3.0637
535,3.0654
536,3.0672
537,3.0689
538,3.0706
539,3.0649
540,3.0667
541,3.0684
542,3.0627
543,3.0645
544,3.0662
545,3.0679
546,3.0696
547,3.0713
548,3.0730
549,3.0747
550,3.0691
551,3.0708
552,3.0725
553,3.0669
554,3.0686
555,3.0703
556,3.0719
557,3.0736
558,3.0753
559,3.0769
560,3.0786
561,3.0802
562,3.0819
563,3.0835
564,3.0851
565,3.0867
566,3.0883
567,3.0899
568,3.0845
569,3.0861
570,3.0877
571,3.0823
572,3.0769
573,3.0785
574,3.0801
575,3.0748
576,3.0764
577,3.0780
578,3.0727
579,3.0674
580,3.0690
581,3.0706
582,3.0722
583,3.0738
584,3.0753
585,3.0701
586,3.0648
587,3.0596
588,3.0612
589,3.0560
590,3.0576
591,3.0592
592,3.0608
593,3.0624
594,3.0640
595,3.0588
596,3.0604
597,3.0620
598,3.0635
599,3.0651
600,3.0667
601,3.0682
602,3.0698
603,3.0713
604,3.0728
605,3.0744
606,3.0759
607,3.0774
608,3.0789
609,3.0805
610,3.0820
611,3.0835
612,3.0850
613,3.0799
614,3.0814
615,3.0829
616,3.0844
617,3.0794
618,3.0744
619,3.0759
620,3.0774
621,3.0789
622,3.0804
623,3.0819
624,3.0833
625,3.0848
626,3.0863
627,3.0877
628,3.0892
629,3.0906
630,3.0857
631,3.0872
632,3.0886
633,3.0837
634,3.0852
635,3.0866
636,3.0881
637,3.0895
638,3.0909
639,3.0923
640,3.0875
641,3.0889
642,3.0903
643,3.0918
644,3.0932
645,3.0946
646,3.0960
647,3.0974
648,3.0926
649,3.0940
650,3.0892
651,3.0906
652,3.0920
653,3.0934
654,3.0948
655,3.0962
656,3.0976
657,3.0928
658,3.0881
659,3.0895
660,3.0909
661,3.0862
662,3.0876
663,3.0890
664,3.0904
665,3.0917
666,3.0931
667,3.0885
668,3.0898
669,3.0912
670,3.0925
671,3.0879
672,3.0893
673,3.0906
674,3.0861
675,3.0874
676,3.0888
677,3.0901
678,3.0855
679,3.0869
680,3.0882
681,3.0896
682,3.0909
683,3.0922
684,3.0877
685,3.0891
686,3.0904
687,3.0917
688,3.0872
689,3.0827
690,3.0841
691,3.0854
692,3.0867
693,3.0880
694,3.0893
695,3.0906
696,3.0862
697,3.0875
698,3.0888
699,3.0901
700,3.0914
701,3.0927
702,3.0940
703,3.0953
704,3.0966
705,3.0922
706,3.0878
707,3.0891
708,3.0847
709,3.0804
710,3.0817
711,3.0774
712,3.0787
713,3.0743
714,3.0700
715,3.0657
716,3.0670
717,3.0683
718,3.0696
719,3.0709
720,3.0722
721,3.0735
722,3.0748
723,3.0761
724,3.0773
725,3.0786
726,3.0799
727,3.0757
728,3.0769
729,3.0782
730,3.0795
731,3.0807
732,3.0765
733,3.0778
734,3.0790
735,3.0803
736,3.0815
737,3.0828
738,3.0840
739,3.0853
740,3.0865
741,3.0877
742,3.0889
743,3.0902
744,3.0860
745,3.0819
746,3.0831
747,3.0843
748,3.0856
749,3.0868
750,3.0827
751,3.0839
752,3.0851
753,3.0863
754,3.0875
755,3.0887
756,3.0899
757,3.0911
758,3.0871
759,3.0830
760,3.0789
761,3.0802
762,3.0761
763,3.0773
764,3.0785
765,3.0797
766,3.0809
767,3.0821
768,3.0833
769,3.0793
770,3.0753
771,3.0765
772,3.0777
773,3.0789
774,3.0801
775,3.0813
776,3.0825
777,3.0837
778,3.0797
779,3.0809
780,3.0769
781,3.0781
782,3.0793
783,3.0805
784,3.0816
785,3.0828
786,3.0840
787,3.0851
788,3.0863
789,3.0875
790,3.0886
791,3.0898
792,3.0859
793,3.0870
794,3.0882
795,3.0893
796,3.0905
797,3.0916
798,3.0927
799,3.0939
800,3.0900
801,3.0911
802,3.0923
803,3.0934
804,3.0896
805,3.0907
806,3.0918
807,3.0929
808,3.0891
809,3.0902
810,3.0914
811,3.0925
812,3.0936
813,3.0947
814,3.0958
815,3.0920
816,3.0931
817,3.0942
818,3.0954
819,3.0916
820,3.0927
821,3.0938
822,3.0949
823,3.0960
824,3.0971
825,3.0982
826,3.0944
827,3.0955
828,3.0966
829,3.0977
830,3.0988
831,3.0999
832,3.0962
833,3.0972
834,3.0983
835,3.0946
836,3.0909
837,3.0872
838,3.0883
839,3.0894
840,3.0905
841,3.0916
842,3.0879
843,3.0890
844,3.0900
845,3.0911
846,3.0922
847,3.0933
848,3.0943
849,3.0954
850,3.0918
851,3.0928
852,3.0939
853,3.0950
854,3.0913
855,3.0924
856,3.0935
857,3.0898
858,3.0909
859,3.0920
860,3.0930
861,3.0894
862,3.0858
863,3.0869
864,3.0833
865,3.0844
866,3.0855
867,3.0865
868,3.0876
869,3.0886
870,3.0897
871,3.0907
872,3.0917
873,3.0928
874,3.0938
875,3.0903
876,3.0868
877,3.0832
878,3.0797
879,3.0808
880,3.0818
881,3.0829
882,3.0839
883,3.0849
884,3.0860
885,3.0870
886,3.0880
887,3.0846
888,3.0811
889,3.0821
890,3.0831
891,3.0842
892,3.0852
893,3.0862
894,3.0872
895,3.0883
896,3.0893
897,3.0903
898,3.0913
899,3.0923
900,3.0933
901,3.0899
902,3.0909
903,3.0919
904,3.0885
905,3.0895
906,3.0905
907,3.0915
908,3.0925
909,3.0935
910,3.0945
911,3.0911
912,3.0921
913,3.0931
914,3.0941
915,3.0951
916,3.0961
917,3.0971
918,3.0980
919,3.0990
920,3.1000
921,3.1010
922,3.0976
923,3.0986
924,3.0996
925,3.1005
926,3.0972
927,3.0982
928,3.0991
929,3.1001
930,3.0968
931,3.0977
932,3.0944
933,3.0954
934,3.0964
935,3.0930
936,3.0940
937,3.0907
938,3.0917
939,3.0927
940,3.0936
941,3.0946
942,3.0913
943,3.0923
944,3.0890
945,3.0899
946,3.0909
947,3.0919
948,3.0928
949,3.0938
950,3.0947
951,3.0957
952,3.0966
953,3.0976
954,3.0985
955,3.0953
956,3.0962
957,3.0972
958,3.0981
959,3.0991
960,3.0958
961,3.0968
962,3.0936
963,3.0945
964,3.0954
965,3.0964
966,3.0932
967,3.0941
968,3.0950
969,3.0960
970,3.0928
971,3.0937
972,3.0947
973,3.0956
974,3.0965
975,3.0933
976,3.0902
977,3.0911
978,3.0920
979,3.0930
980,3.0939
981,3.0948
982,3.0957
983,3.0966
984,3.0935
985,3.0944
986,3.0953
987,3.0963
988,3.0972
989,3.0981
990,3.0990
991,3.0999
992,3.1008
993,3.1017
994,3.0986
995,3.0995
996,3.1004
997,3.0973
998,3.0982
999,3.0991
1000,3.1000
1001,3.1009
1002,3.1018
1003,3.1027
1004,3.1036
1005,3.1005
1006,3.1014
1007,3.1023
1008,3.0992
1009,3.1001
1010,3.1010
1011,3.1019
1012,3.1028
1013,3.1037
1014,3.1045
1015,3.1015
1016,3.1024
1017,3.1032
1018,3.1041
1019,3.1050
1020,3.1059
1021,3.1068
1022,3.1076
1023,3.1085
1024,3.1094
1025,3.1063
1026,3.1033
1027,3.1042
1028,3.1051
1029,3.1020
1030,3.1029
1031,3.0999
1032,3.0969
1033,3.0978
1034,3.0986
1035,3.0995
1036,3.1004
1037,3.1013
1038,3.0983
1039,3.0991
1040,3.1000
1041,3.1009
1042,3.1017
1043,3.1026
1044,3.0996
1045,3.1005
1046,3.0975
1047,3.0984
1048,3.0992
1049,3.0963
1050,3.0971
1051,3.0980
1052,3.0989
1053,3.0997
1054,3.1006
1055,3.0976
1056,3.0985
1057,3.0993
1058,3.1002
1059,3.1010
1060,3.1019
1061,3.1027
1062,3.1036
1063,3.1044
1064,3.1053
1065,3.1061
1066,3.1069
1067,3.1078
1068,3.1086
1069,3.1094
1070,3.1103
1071,3.1111
1072,3.1119
1073,3.1090
1074,3.1061
1075,3.1070
1076,3.1078
1077,3.1049
1078,3.1020
1079,3.1029
1080,3.1037
1081,3.1045
1082,3.1054
1083,3.1062
1084,3.1070
1085,3.1078
1086,3.1087
1087,3.1095
1088,3.1103
1089,3.1111
1090,3.1119
1091,3.1127
1092,3.1099
1093,3.1107
1094,3.1115
1095,3.1123
1096,3.1131
1097,3.1139
1098,3.1148
1099,3.1156
1100,3.1164
1101,3.1172
1102,3.1180
1103,3.1188
1104,3.1196
1105,3.1204
1106,3.1212
1107,3.1220
1108,3.1227
1109,3.1235
1110,3.1243
1111,3.1251
1112,3.1259
1113,3.1267
1114,3.1239
1115,3.1247
1116,3.1254
1117,3.1262
1118,3.1270
1119,3.1278
1120,3.1250
1121,3.1258
1122,3.1230
1123,3.1202
1124,3.1210
1125,3.1218
1126,3.1226
1127,3.1233
1128,3.1241
1129,3.1249
1130,3.1257
1131,3.1229
1132,3.1237
1133,3.1244
1134,3.1252
1135,3.1260
1136,3.1268
1137,3.1275
1138,3.1283
1139,3.1255
1140,3.1263
1141,3.1236
1142,3.1243
1143,3.1251
1144,3.1259
1145,3.1266
1146,3.1274
1147,3.1282
1148,3.1254
1149,3.1262
1150,3.1270
1151,3.1277
1152,3.1285
1153,3.1292
1154,3.1300
1155,3.1307
1156,3.1315
1157,3.1322
1158,3.1330
1159,3.1337
1160,3.1310
1161,3.1283
1162,3.1291
1163,3.1298
1164,3.1271
1165,3.1245
1166,3.1252
1167,3.1260
1168,3.1267
1169,3.1275
1170,3.1248
1171,3.1221
1172,3.1195
1173,3.1202
1174,3.1210
1175,3.1217
1176,3.1224
1177,3.1232
1178,3.1205
1179,3.1179
1180,3.1186
1181,3.1194
1182,3.1201
1183,3.1209
1184,3.1216
1185,3.1224
1186,3.1231
1187,3.1205
1188,3.1178
1189,3.1186
1190,3.1160
1191,3.1167
1192,3.1141
1193,3.1148
1194,3.1156
1195,3.1163
1196,3.1171
1197,3.1178
1198,3.1185
1199,3.1193
1200,3.1200
1201,3.1207
1202,3.1215
1203,3.1222
1204,3.1196
1205,3.1203
1206,3.1211
1207,3.1185
1208,3.1159
1209,3.1133
1210,3.1140
1211,3.1148
1212,3.1155
1213,3.1162
1214,3.1137
1215,3.1144
1216,3.1151
1217,3.1159
1218,3.1133
1219,3.1140
1220,3.1148
1221,3.1155
1222,3.1162
1223,3.1169
1224,3.1176
1225,3.1184
1226,3.1191
1227,3.1165
1228,3.1140
1229,3.1147
1230,3.1154
1231,3.1162
1232,3.1169
1233,3.1176
1234,3.1183
1235,3.1190
1236,3.1197
1237,3.1205
1238,3.1212
1239,3.1186
1240,3.1194
1241,3.1201
1242,3.1208
1243,3.1215
1244,3.1190
1245,3.1197
1246,3.1172
1247,3.1179
1248,3.1186
1249,3.1161
1250,3.1136
1251,3.1143
1252,3.1150
1253,3.1157
1254,3.1132
1255,3.1139
1256,3.1146
1257,3.1122
1258,3.1097
1259,3.1104
1260,3.1079
1261,3.1086
1262,3.1094
1263,3.1101
1264,3.1076
1265,3.1083
1266,3.1090
1267,3.1097
1268,3.1073
1269,3.1080
1270,3.1087
1271,3.1094
1272,3.1101
1273,3.1108
1274,3.1115
1275,3.1122
1276,3.1129
1277,3.1104
1278,3.1080
1279,3.1087
1280,3.1094
1281,3.1101
1282,3.1108
1283,3.1083
1284,3.1090
1285,3.1097
1286,3.1073
1287,3.1080
1288,3.1056
1289,3.1063
1290,3.1070
1291,3.1077
1292,3.1084
1293,3.1090
1294,3.1097
1295,3.1104
1296,3.1111
1297,3.1118
1298,3.1125
1299,3.1132
1300,3.1108
1301,3.1084
1302,3.1060
1303,3.1067
1304,3.1043
1305,3.1050
1306,3.1057
1307,3.1033
1308,3.1040
1309,3.1047
1310,3.1023
1311,3.1030
1312,3.1006
1313,3.1013
1314,3.1020
1315,3.1027
1316,3.1033
1317,3.1010
1318,3.1017
1319,3.1024
1320,3.1030
1321,3.1037
1322,3.1044
1323,3.1020
1324,3.1027
1325,3.1004
1326,3.1011
1327,3.1017
1328,3.1024
1329,3.1031
1330,3.1008
1331,3.1014
1332,3.0991
1333,3.0998
1334,3.0975
1335,3.0981
1336,3.0988
1337,3.0965
1338,3.0942
1339,3.0948
1340,3.0955
1341,3.0932
1342,3.0909
1343,3.0886
1344,3.0893
1345,3.0900
1346,3.0906
1347,3.0913
1348,3.0920
1349,3.0927
1350,3.0933
1351,3.0940
1352,3.0947
1353,3.0953
1354,3.0931
1355,3.0937
1356,3.0914
1357,3.0921
1358,3.0928
1359,3.0905
1360,3.0912
1361,3.0918
1362,3.0925
1363,3.0932
1364,3.0938
1365,3.0945
1366,3.0922
1367,3.0929
1368,3.0906
1369,3.0913
1370,3.0920
1371,3.0926
1372,3.0933
1373,3.0940
1374,3.0946
1375,3.0953
1376,3.0959
1377,3.0937
1378,3.0943
1379,3.0950
1380,3.0928
1381,3.0934
1382,3.0941
1383,3.0947
1384,3.0954
1385,3.0960
1386,3.0967
1387,3.0973
1388,3.0951
1389,3.0958
1390,3.0964
1391,3.0971
1392,3.0948
1393,3.0926
1394,3.0933
1395,3.0910
1396,3.0917
1397,3.0923
1398,3.0930
1399,3.0936
1400,3.0943
1401,3.0921
1402,3.0927
1403,3.0934
1404,3.0940
1405,3.0947
1406,3.0953
1407,3.0959
1408,3.0966
1409,3.0972
1410,3.0979
1411,3.0985
1412,3.0992
1413,3.0970
1414,3.0976
1415,3.0982
1416,3.0960
1417,3.0967
1418,3.0945
1419,3.0951
1420,3.0958
1421,3.0936
1422,3.0914
1423,3.0921
1424,3.0927
1425,3.0905
1426,3.0912
1427,3.0890
1428,3.0868
1429,3.0875
1430,3.0881
1431,3.0887
1432,3.0894
1433,3.0900
1434,3.0907
1435,3.0913
1436,3.0919
1437,3.0898
1438,3.0904
1439,3.0883
1440,3.0889
1441,3.0867
1442,3.0874
1443,3.0880
1444,3.0859
1445,3.0865
1446,3.0844
1447,3.0850
1448,3.0856
1449,3.0835
1450,3.0814
1451,3.0820
1452,3.0826
1453,3.0833
1454,3.0839
1455,3.0818
1456,3.0824
1457,3.0830
1458,3.0837
1459,3.0843
1460,3.0849
1461,3.0856
1462,3.0862
1463,3.0868
1464,3.0874
1465,3.0881
1466,3.0859
1467,3.0866
1468,3.0872
1469,3.0878
1470,3.0857
1471,3.0863
1472,3.0870
1473,3.0849
1474,3.0855
1475,3.0861
1476,3.0867
1477,3.0873
1478,3.0880
1479,3.0859
1480,3.0865
1481,3.0871
1482,3.0877
1483,3.0883
1484,3.0863
1485,3.0869
1486,3.0875
1487,3.0854
1488,3.0860
1489,3.0866
1490,3.0872
1491,3.0879
1492,3.0885
1493,3.0891
1494,3.0870
1495,3.0876
1496,3.0882
1497,3.0888
1498,3.0868
1499,3.0874
1500,3.0880
1501,3.0886
1502,3.0892
1503,3.0898
1504,3.0904
1505,3.0884
1506,3.0890
1507,3.0869
1508,3.0849
1509,3.0855
1510,3.0861
1511,3.0867
1512,3.0873
1513,3.0879
1514,3.0885
1515,3.0891
1516,3.0897
1517,3.0903
1518,3.0883
1519,3.0862
1520,3.0868
1521,3.0848
1522,3.0854
1523,3.0860
1524,3.0866
1525,3.0872
1526,3.0878
1527,3.0858
1528,3.0838
1529,3.0818
1530,3.0824
1531,3.0830
1532,3.0809
1533,3.0815
1534,3.0795
1535,3.0801
1536,3.0807
1537,3.0787
1538,3.0793
1539,3.0773
1540,3.0779
1541,3.0785
1542,3.0765
1543,3.0771
1544,3.0751
1545,3.0757
1546,3.0763
1547,3.0769
1548,3.0749
1549,3.0755
1550,3.0735
1551,3.0741
1552,3.0747
1553,3.0753
1554,3.0759
1555,3.0765
1556,3.0771
1557,3.0777
1558,3.0783
1559,3.0789
1560,3.0795
1561,3.0775
1562,3.0781
1563,3.0787
1564,3.0793
1565,3.0799
1566,3.0779
1567,3.0785
1568,3.0765
1569,3.0771
1570,3.0777
1571,3.0783
1572,3.0789
1573,3.0795
1574,3.0801
1575,3.0806
1576,3.0787
1577,3.0767
1578,3.0773
1579,3.0754
1580,3.0734
1581,3.0715
1582,3.0721
1583,3.0726
1584,3.0732
1585,3.0738
1586,3.0744
1587,3.0750
1588,3.0756
1589,3.0761
1590,3.0742
1591,3.0723
1592,3.0729
1593,3.0709
1594,3.0715
1595,3.0721
1596,3.0727
1597,3.0708
1598,3.0688
1599,3.0694
1600,3.0675
1601,3.0681
1602,3.0662
1603,3.0667
1604,3.0673
1605,3.0679
1606,3.0685
1607,3.0691
1608,3.0697
1609,3.0702
1610,3.0708
1611,3.0714
1612,3.0720
1613,3.0725
1614,3.0731
1615,3.0737
1616,3.0718
1617,3.0724
1618,3.0729
1619,3.0735
1620,3.0741
1621,3.0746
1622,3.0752
1623,3.0758
1624,3.0739
1625,3.0745
1626,3.0750
1627,3.0731
1628,3.0737
1629,3.0743
1630,3.0748
1631,3.0730
1632,3.0711
1633,3.0716
1634,3.0698
1635,3.0703
1636,3.0709
1637,3.0690
1638,3.0696
1639,3.0702
1640,3.0707
1641,3.0713
1642,3.0719
1643,3.0724
1644,3.0730
1645,3.0736
1646,3.0717
1647,3.0723
1648,3.0704
1649,3.0710
1650,3.0715
1651,3.0721
1652,3.0726
1653,3.0732
1654,3.0738
1655,3.0719
1656,3.0725
1657,3.0706
1658,3.0688
1659,3.0693
1660,3.0699
1661,3.0680
1662,3.0686
1663,3.0692
1664,3.0697
1665,3.0679
1666,3.0684
1667,3.0690
1668,3.0695
1669,3.0701
1670,3.0707
1671,3.0712
1672,3.0718
1673,3.0723
1674,3.0729
1675,3.0734
1676,3.0740
1677,3.0745
1678,3.0751
1679,3.0756
1680,3.0738
1681,3.0744
1682,3.0749
1683,3.0755
1684,3.0760
1685,3.0766
1686,3.0771
1687,3.0753
1688,3.0735
1689,3.0716
1690,3.0698
1691,3.0704
1692,3.0709
1693,3.0715
1694,3.0697
1695,3.0702
1696,3.0708
1697,3.0713
1698,3.0718
1699,3.0700
1700,3.0706
1701,3.0711
1702,3.0693
1703,3.0675
1704,3.0681
1705,3.0663
1706,3.0668
1707,3.0650
1708,3.0656
1709,3.0661
1710,3.0667
1711,3.0672
1712,3.0654
1713,3.0660
1714,3.0665
1715,3.0671
1716,3.0676
1717,3.0681
1718,3.0687
1719,3.0692
1720,3.0698
1721,3.0680
1722,3.0662
1723,3.0667
1724,3.0673
1725,3.0655
1726,3.0660
1727,3.0666
1728,3.0671
1729,3.0677
1730,3.0682
1731,3.0664
1732,3.0670
1733,3.0652
1734,3.0657
1735,3.0640
1736,3.0645
1737,3.0628
1738,3.0633
1739,3.0638
1740,3.0644
1741,3.0649
1742,3.0631
1743,3.0637
1744,3.0619
1745,3.0625
1746,3.0630
1747,3.0635
1748,3.0618
1749,3.0623
1750,3.0606
1751,3.0611
1752,3.0594
1753,3.0599
1754,3.0582
1755,3.0564
1756,3.0569
1757,3.0575
1758,3.0580
1759,3.0563
1760,3.0568
1761,3.0574
1762,3.0556
1763,3.0562
1764,3.0567
1765,3.0572
1766,3.0578
1767,3.0583
1768,3.0588
1769,3.0594
1770,3.0599
1771,3.0604
1772,3.0609
1773,3.0615
1774,3.0620
1775,3.0625
1776,3.0631
1777,3.0636
1778,3.0619
1779,3.0601
1780,3.0607
1781,3.0612
1782,3.0617
1783,3.0623
1784,3.0628
1785,3.0633
1786,3.0638
1787,3.0644
1788,3.0649
1789,3.0654
1790,3.0659
1791,3.0664
1792,3.0670
1793,3.0653
1794,3.0658
1795,3.0663
1796,3.0646
1797,3.0651
1798,3.0634
1799,3.0639
1800,3.0644
1801,3.0650
1802,3.0633
1803,3.0616
1804,3.0621
1805,3.0626
1806,3.0631
1807,3.0614
1808,3.0619
1809,3.0625
1810,3.0608
1811,3.0591
1812,3.0596
1813,3.0601
1814,3.0584
1815,3.0590
1816,3.0595
1817,3.0600
1818,3.0605
1819,3.0610
1820,3.0593
1821,3.0599
1822,3.0582
1823,3.0587
1824,3.0592
1825,3.0575
1826,3.0581
1827,3.0586
1828,3.0591
1829,3.0596
1830,3.0601
1831,3.0606
1832,3.0611
1833,3.0616
1834,3.0600
1835,3.0605
1836,3.0610
1837,3.0615
1838,3.0620
1839,3.0625
1840,3.0609
1841,3.0614
1842,3.0619
1843,3.0624
1844,3.0629
1845,3.0612
1846,3.0618
1847,3.0623
1848,3.0628
1849,3.0633
1850,3.0638
1851,3.0643
1852,3.0626
1853,3.0631
1854,3.0636
1855,3.0642
1856,3.0647
1857,3.0652
1858,3.0657
1859,3.0662
1860,3.0667
1861,3.0672
1862,3.0677
1863,3.0660
1864,3.0665
1865,3.0670
1866,3.0675
1867,3.0680
1868,3.0685
1869,3.0690
1870,3.0695
1871,3.0700
1872,3.0705
1873,3.0689
