n,tousen
10400,0.106923
10401,0.106913
10402,0.106903
10403,0.106892
10404,0.106882
10405,0.106872
10406,0.106861
10407,0.106851
10408,0.106841
10409,0.106831
10410,0.10682
10411,0.10681
10412,0.1068
10413,0.10679
10414,0.106779
10415,0.106769
10416,0.106759
10417,0.106749
10418,0.106738
10419,0.106728
10420,0.106814
10421,0.1069
10422,0.106889
10423,0.106879
10424,0.106869
10425,0.106859
10426,0.106848
10427,0.106838
10428,0.106828
10429,0.106913
10430,0.106903
10431,0.106893
10432,0.106979
10433,0.106968
10434,0.106958
10435,0.106948
10436,0.106938
10437,0.106927
10438,0.106917
10439,0.106907
10440,0.106897
10441,0.106886
10442,0.106876
10443,0.106866
10444,0.106951
10445,0.106941
10446,0.106931
10447,0.106921
10448,0.10691
10449,0.1069
10450,0.106986
10451,0.107071
10452,0.107061
10453,0.107051
10454,0.10704
10455,0.107126
10456,0.107116
10457,0.107105
10458,0.107095
10459,0.107085
10460,0.107075
10461,0.107064
10462,0.107054
10463,0.107044
10464,0.107129
10465,0.107119
10466,0.107109
10467,0.107099
10468,0.107088
10469,0.107174
10470,0.107163
10471,0.107153
10472,0.107143
10473,0.107133
10474,0.107122
10475,0.107112
10476,0.107102
10477,0.107092
10478,0.107082
10479,0.107071
10480,0.107061
10481,0.107051
10482,0.107041
10483,0.10703
10484,0.10702
10485,0.10701
10486,0.107095
10487,0.107085
10488,0.107075
10489,0.107065
10490,0.107054
10491,0.107044
10492,0.107034
10493,0.107024
10494,0.107014
10495,0.107003
10496,0.106993
10497,0.106983
10498,0.106973
10499,0.107058
10500,0.107143
10501,0.107133
10502,0.107122
10503,0.107112
10504,0.107102
10505,0.107092
10506,0.107082
10507,0.107071
10508,0.107061
10509,0.107051
10510,0.107041
10511,0.107031
10512,0.107021
10513,0.10701
10514,0.107
10515,0.10699
10516,0.10698
10517,0.10697
10518,0.106959
10519,0.106949
10520,0.106939
10521,0.106929
10522,0.106919
10523,0.106909
10524,0.106899
10525,0.106888
10526,0.106973
10527,0.106963
10528,0.106953
10529,0.106943
10530,0.106933
10531,0.106922
10532,0.106912
10533,0.106902
10534,0.106892
10535,0.106882
10536,0.106872
10537,0.106956
10538,0.106946
10539,0.107031
10540,0.107021
10541,0.107011
10542,0.107001
10543,0.10699
10544,0.10698
10545,0.10697
10546,0.10696
10547,0.10695
10548,0.10694
10549,0.10693
10550,0.106919
10551,0.106909
10552,0.106899
10553,0.106889
10554,0.106879
10555,0.106869
10556,0.106859
10557,0.106849
10558,0.106838
10559,0.106828
10560,0.106913
10561,0.106903
10562,0.106893
10563,0.106977
10564,0.106967
10565,0.106957
10566,0.106947
10567,0.106937
10568,0.106927
10569,0.106916
10570,0.107001
10571,0.107085
10572,0.107075
10573,0.107065
10574,0.107055
10575,0.107045
10576,0.107035
10577,0.107025
10578,0.107015
10579,0.107004
10580,0.106994
10581,0.106984
10582,0.106974
10583,0.106964
10584,0.106954
10585,0.106944
10586,0.106934
10587,0.106924
10588,0.106913
10589,0.106903
10590,0.106893
10591,0.106883
10592,0.106873
10593,0.106863
10594,0.106853
10595,0.106843
10596,0.106833
10597,0.106917
10598,0.106907
10599,0.106897
10600,0.106887
10601,0.106971
10602,0.106961
10603,0.106951
10604,0.107035
10605,0.107025
10606,0.107015
10607,0.107005
10608,0.107089
10609,0.107079
10610,0.107069
10611,0.107059
10612,0.107049
10613,0.107039
10614,0.107028
10615,0.107018
10616,0.107008
10617,0.106998
10618,0.107082
10619,0.107072
10620,0.107062
10621,0.107052
10622,0.107042
10623,0.107032
10624,0.107022
10625,0.107106
10626,0.107096
10627,0.107086
10628,0.107076
10629,0.107066
10630,0.10715
10631,0.107139
10632,0.107129
10633,0.107119
10634,0.107109
10635,0.107099
10636,0.107089
10637,0.107079
10638,0.107069
10639,0.107059
10640,0.107049
10641,0.107133
10642,0.107123
10643,0.107113
10644,0.107103
10645,0.107186
10646,0.107176
10647,0.107166
10648,0.107156
10649,0.10724
10650,0.107324
10651,0.107314
10652,0.107304
10653,0.107294
10654,0.107284
10655,0.107274
10656,0.107264
10657,0.107253
10658,0.107243
10659,0.107233
10660,0.107223
10661,0.107213
10662,0.107203
10663,0.107193
10664,0.107183
10665,0.107173
10666,0.107163
10667,0.107153
10668,0.107143
10669,0.107133
10670,0.107123
10671,0.107113
10672,0.107103
10673,0.107093
10674,0.107083
10675,0.107073
10676,0.107063
10677,0.107146
10678,0.107136
10679,0.107126
10680,0.107116
10681,0.107106
10682,0.107096
10683,0.10718
10684,0.10717
10685,0.10716
10686,0.10715
10687,0.10714
10688,0.107129
10689,0.107119
10690,0.107109
10691,0.107099
10692,0.107089
10693,0.107079
10694,0.107163
10695,0.107153
10696,0.107143
10697,0.107133
10698,0.107123
10699,0.107113
10700,0.107196
10701,0.107186
10702,0.107176
10703,0.10726
10704,0.10725
10705,0.10724
10706,0.10723
10707,0.10722
10708,0.10721
10709,0.1072
10710,0.10719
10711,0.10718
10712,0.10717
10713,0.10716
10714,0.10715
10715,0.10714
10716,0.10713
10717,0.10712
10718,0.10711
10719,0.1071
10720,0.10709
10721,0.10708
10722,0.10707
10723,0.10706
10724,0.10705
10725,0.10704
10726,0.107123
10727,0.107113
10728,0.107103
10729,0.107093
10730,0.107083
10731,0.107073
10732,0.107063
10733,0.107053
10734,0.107043
10735,0.107033
10736,0.107023
10737,0.107106
10738,0.107189
10739,0.107179
10740,0.107169
10741,0.107159
10742,0.107243
10743,0.107233
10744,0.107223
10745,0.107213
10746,0.107203
10747,0.107193
10748,0.107183
10749,0.107173
10750,0.107163
10751,0.107153
10752,0.107143
10753,0.107133
10754,0.107123
10755,0.107113
10756,0.107103
10757,0.107186
10758,0.107176
10759,0.107166
10760,0.107156
10761,0.107146
10762,0.107136
10763,0.107126
10764,0.107116
10765,0.107199
10766,0.107189
10767,0.107179
10768,0.107169
10769,0.107159
10770,0.107149
10771,0.10714
10772,0.10713
10773,0.10712
10774,0.10711
10775,0.1071
10776,0.10709
10777,0.10708
10778,0.10707
10779,0.107153
10780,0.107143
10781,0.107133
10782,0.107123
10783,0.107113
10784,0.107103
10785,0.107093
10786,0.107083
10787,0.107073
10788,0.107063
10789,0.107053
10790,0.107044
10791,0.107034
10792,0.107024
10793,0.107014
10794,0.107004
10795,0.106994
10796,0.106984
10797,0.106974
10798,0.106964
10799,0.107047
10800,0.107037
10801,0.107027
10802,0.107017
10803,0.107007
10804,0.106997
10805,0.106988
10806,0.106978
10807,0.106968
10808,0.106958
10809,0.106948
10810,0.106938
10811,0.106928
10812,0.106918
10813,0.106908
10814,0.106898
10815,0.106889
10816,0.106879
10817,0.106869
10818,0.106951
10819,0.106941
10820,0.106932
10821,0.106922
10822,0.106912
10823,0.106902
10824,0.106892
10825,0.106882
10826,0.106872
10827,0.106862
10828,0.106853
10829,0.106843
10830,0.106833
10831,0.106823
10832,0.106813
10833,0.106803
10834,0.106793
10835,0.106784
10836,0.106774
10837,0.106764
10838,0.106754
10839,0.106836
10840,0.106827
10841,0.106817
10842,0.106807
10843,0.106797
10844,0.106879
10845,0.10687
10846,0.10686
10847,0.10685
10848,0.10684
10849,0.10683
10850,0.10682
10851,0.10681
10852,0.106801
10853,0.106791
10854,0.106781
10855,0.106771
10856,0.106761
10857,0.106751
10858,0.106742
10859,0.106732
10860,0.106722
10861,0.106712
10862,0.106702
10863,0.106692
10864,0.106683
10865,0.106673
10866,0.106663
10867,0.106653
10868,0.106643
10869,0.106726
10870,0.106716
10871,0.106706
10872,0.106696
10873,0.106686
10874,0.106676
10875,0.106667
10876,0.106657
10877,0.106647
10878,0.106637
10879,0.106627
10880,0.106618
10881,0.106608
10882,0.106598
10883,0.106588
10884,0.106578
10885,0.106569
10886,0.106559
10887,0.106549
10888,0.106539
10889,0.10653
10890,0.10652
10891,0.106602
10892,0.106592
10893,0.106582
10894,0.106572
10895,0.106563
10896,0.106553
10897,0.106543
10898,0.106533
10899,0.106524
10900,0.106514
10901,0.106504
10902,0.106494
10903,0.106484
10904,0.106475
10905,0.106465
10906,0.106455
10907,0.106445
10908,0.106436
10909,0.106518
10910,0.106508
10911,0.106498
10912,0.106488
10913,0.106479
10914,0.106469
10915,0.106459
10916,0.106449
10917,0.106439
10918,0.10643
10919,0.10642
10920,0.10641
10921,0.106401
10922,0.106391
10923,0.106473
10924,0.106463
10925,0.106453
10926,0.106443
10927,0.106434
10928,0.106424
10929,0.106414
10930,0.106404
10931,0.106395
10932,0.106385
10933,0.106375
10934,0.106365
10935,0.106356
10936,0.106346
10937,0.106336
10938,0.106327
10939,0.106317
10940,0.106399
10941,0.106389
10942,0.106379
10943,0.106369
10944,0.10636
10945,0.10635
10946,0.10634
10947,0.106331
10948,0.106321
10949,0.106311
10950,0.106301
10951,0.106292
10952,0.106282
10953,0.106272
10954,0.106263
10955,0.106253
10956,0.106243
10957,0.106233
10958,0.106224
10959,0.106214
10960,0.106204
10961,0.106195
10962,0.106185
10963,0.106175
10964,0.106257
10965,0.106247
10966,0.106237
10967,0.106228
10968,0.106218
10969,0.106208
10970,0.106199
10971,0.106189
10972,0.106179
10973,0.10617
10974,0.10616
10975,0.106241
10976,0.106232
10977,0.106222
10978,0.106212
10979,0.106203
10980,0.106193
10981,0.106183
10982,0.106174
10983,0.106164
10984,0.106154
10985,0.106145
10986,0.106226
10987,0.106216
10988,0.106207
10989,0.106288
10990,0.106369
10991,0.106451
10992,0.106441
10993,0.106431
10994,0.106422
10995,0.106412
10996,0.106402
10997,0.106393
10998,0.106383
10999,0.106464
11000,0.106455
11001,0.106445
11002,0.106435
11003,0.106426
11004,0.106507
11005,0.106497
11006,0.106487
11007,0.106478
11008,0.106468
11009,0.106458
11010,0.106449
11011,0.10653
11012,0.10652
11013,0.106601
11014,0.106592
11015,0.106582
11016,0.106572
11017,0.106563
11018,0.106553
11019,0.106543
11020,0.106534
11021,0.106524
11022,0.106514
11023,0.106505
11024,0.106495
11025,0.106485
11026,0.106476
11027,0.106466
11028,0.106456
11029,0.106537
11030,0.106528
11031,0.106609
11032,0.106599
11033,0.106589
11034,0.10658
11035,0.106661
11036,0.106651
11037,0.106641
11038,0.106632
11039,0.106622
11040,0.106612
11041,0.106603
11042,0.106593
11043,0.106583
11044,0.106574
11045,0.106564
11046,0.106554
11047,0.106545
11048,0.106626
11049,0.106616
11050,0.106606
11051,0.106597
11052,0.106678
11053,0.106668
11054,0.106658
11055,0.106649
11056,0.106639
11057,0.106629
11058,0.10662
11059,0.10661
11060,0.1066
11061,0.106591
11062,0.106671
11063,0.106662
11064,0.106652
11065,0.106643
11066,0.106633
11067,0.106623
11068,0.106614
11069,0.106604
11070,0.106594
11071,0.106585
11072,0.106575
11073,0.106566
11074,0.106556
11075,0.106546
11076,0.106537
11077,0.106527
11078,0.106517
11079,0.106508
11080,0.106498
11081,0.106489
11082,0.106479
11083,0.106469
11084,0.10655
11085,0.10654
11086,0.106531
11087,0.106521
11088,0.106512
11089,0.106502
11090,0.106492
11091,0.106483
11092,0.106473
11093,0.106464
11094,0.106454
11095,0.106444
11096,0.106435
11097,0.106425
11098,0.106506
11099,0.106496
11100,0.106486
11101,0.106477
11102,0.106467
11103,0.106458
11104,0.106448
11105,0.106439
11106,0.106429
11107,0.106419
11108,0.10641
11109,0.1064
11110,0.106391
11111,0.106381
11112,0.106371
11113,0.106362
11114,0.106352
11115,0.106343
11116,0.106333
11117,0.106324
11118,0.106404
11119,0.106484
11120,0.106475
11121,0.106465
11122,0.106546
11123,0.106536
11124,0.106526
11125,0.106517
11126,0.106507
11127,0.106498
11128,0.106488
11129,0.106479
11130,0.106469
11131,0.106459
11132,0.10645
11133,0.10644
11134,0.106431
11135,0.106421
11136,0.106412
11137,0.106402
11138,0.106393
11139,0.106383
11140,0.106373
11141,0.106364
11142,0.106354
11143,0.106345
11144,0.106335
11145,0.106326
11146,0.106316
11147,0.106307
11148,0.106297
11149,0.106288
11150,0.106278
11151,0.106268
11152,0.106349
11153,0.106339
11154,0.10633
11155,0.10632
11156,0.106311
11157,0.106301
11158,0.106291
11159,0.106282
11160,0.106272
11161,0.106263
11162,0.106253
11163,0.106244
11164,0.106234
11165,0.106225
11166,0.106215
11167,0.106295
11168,0.106286
11169,0.106276
11170,0.106267
11171,0.106257
11172,0.106248
11173,0.106238
11174,0.106229
11175,0.106219
11176,0.10621
11177,0.1062
11178,0.106191
11179,0.106271
11180,0.106261
11181,0.106252
11182,0.106242
11183,0.106233
11184,0.106223
11185,0.106214
11186,0.106204
11187,0.106195
11188,0.106185
11189,0.106176
11190,0.106166
11191,0.106157
11192,0.106237
11193,0.106227
11194,0.106307
11195,0.106297
11196,0.106288
11197,0.106278
11198,0.106269
11199,0.106259
11200,0.10625
11201,0.106241
11202,0.10632
11203,0.106311
11204,0.106301
11205,0.106292
11206,0.106282
11207,0.106273
11208,0.106263
11209,0.106254
11210,0.106244
11211,0.106235
11212,0.106225
11213,0.106216
11214,0.106207
11215,0.106286
11216,0.106277
11217,0.106267
11218,0.106258
11219,0.106248
11220,0.106239
11221,0.106229
11222,0.10622
11223,0.10621
11224,0.106201
11225,0.106192
11226,0.106182
11227,0.106173
11228,0.106252
11229,0.106243
11230,0.106322
11231,0.106313
11232,0.106303
11233,0.106294
11234,0.106374
11235,0.106364
11236,0.106444
11237,0.106434
11238,0.106425
11239,0.106415
11240,0.106406
11241,0.106396
11242,0.106387
11243,0.106377
11244,0.106368
11245,0.106358
11246,0.106349
11247,0.106339
11248,0.10633
11249,0.106321
11250,0.106311
11251,0.106302
11252,0.106292
11253,0.106283
11254,0.106273
11255,0.106264
11256,0.106254
11257,0.106245
11258,0.106236
11259,0.106226
11260,0.106306
11261,0.106296
11262,0.106287
11263,0.106277
11264,0.106268
11265,0.106258
11266,0.106249
11267,0.106239
11268,0.10623
11269,0.106221
11270,0.106211
11271,0.10629
11272,0.106281
11273,0.106272
11274,0.106262
11275,0.106341
11276,0.106332
11277,0.106323
11278,0.106313
11279,0.106304
11280,0.106294
11281,0.106374
11282,0.106364
11283,0.106355
11284,0.106345
11285,0.106336
11286,0.106415
11287,0.106406
11288,0.106396
11289,0.106387
11290,0.106466
11291,0.106456
11292,0.106447
11293,0.106438
11294,0.106428
11295,0.106419
11296,0.106409
11297,0.1064
11298,0.106391
11299,0.106381
11300,0.10646
11301,0.106451
11302,0.106441
11303,0.106432
11304,0.106423
11305,0.106413
11306,0.106404
11307,0.106394
11308,0.106385
11309,0.106375
11310,0.106366
11311,0.106357
11312,0.106347
11313,0.106338
11314,0.106328
11315,0.106319
11316,0.10631
11317,0.1063
11318,0.106291
11319,0.106281
11320,0.106272
11321,0.106263
11322,0.106253
11323,0.106244
11324,0.106235
11325,0.106225
11326,0.106216
11327,0.106206
11328,0.106197
11329,0.106188
11330,0.106178
11331,0.106257
11332,0.106248
11333,0.106238
11334,0.106229
11335,0.10622
11336,0.10621
11337,0.106201
11338,0.106192
11339,0.106182
11340,0.106173
11341,0.106163
11342,0.106154
11343,0.106145
11344,0.106135
11345,0.106126
11346,0.106117
11347,0.106107
11348,0.106098
11349,0.106089
11350,0.106079
11351,0.10607
11352,0.106061
11353,0.106051
11354,0.106042
11355,0.106121
11356,0.106111
11357,0.106102
11358,0.106093
11359,0.106171
11360,0.106162
11361,0.106153
11362,0.106143
11363,0.106134
11364,0.106125
11365,0.106115
11366,0.106106
11367,0.106097
11368,0.106175
11369,0.106166
11370,0.106157
11371,0.106147
